date,currency_code,name,local_price,dollar_ex
2010-01-01,GBP,Britain,2.29,0.623752495
2010-01-01,HKD,Hong Kong,14.8,7.75655
2010-01-01,HUF,Hungary,720.0,186.6508
2010-01-01,IDR,Indonesia,20900.0,9320.0
2010-01-01,ILS,Israel,14.9,3.7325
2010-01-01,JPY,Japan,320.0,91.54
2010-01-01,KRW,South Korea,3400.0,1140.5
2010-01-01,LKR,Sri Lanka,210.0,114.86
2010-01-01,MXN,Mexico,32.0,12.81375
2010-01-01,MYR,Malaysia,7.05,3.3875
2010-01-01,NOK,Norway,40.0,5.69555
2010-01-01,NZD,New Zealand,4.9,1.35685
2010-01-01,PKR,Pakistan,200.0,82.6
2010-01-01,PEN,Peru,8.056000000000001,2.8705
2010-01-01,PHP,Philippines,101.52,45.92
2010-01-01,PLN,Poland,8.1,2.83565
2010-01-01,RUB,Russia,70.0,29.927
2010-01-01,SAR,Saudi Arabia,10.0,3.7502
2010-01-01,SGD,Singapore,4.45,1.39555
2010-01-01,SEK,Sweden,39.0,7.0821
2010-01-01,THB,Thailand,70.0,33.135
2010-01-01,TRY,Turkey,5.65,1.47455
2010-01-01,TWD,Taiwan,75.0,31.8425
2010-01-01,UAH,Ukraine,14.0,7.66
2010-01-01,UYU,Uruguay,77.0,23.17
2010-01-01,USD,United States,3.58,1.0
2010-01-01,ZAR,South Africa,17.95,7.3045
2010-07-01,AED,UAE,11.0,3.67285
2010-07-01,ARS,Argentina,14.0,3.93375
2010-07-01,AUD,Australia,4.35,1.133722578
2010-07-01,BRL,Brazil,8.71,1.77495
2010-07-01,CAD,Canada,4.17,1.04235
2010-07-01,CHF,Switzerland,6.5,1.05085
2010-07-01,CLP,Chile,1750.0,523.65
2010-07-01,CNY,China,13.2,6.7769
2010-07-01,COP,Colombia,8200.0,1868.45
2010-07-01,CRC,Costa Rica,2000.0,522.115
2010-07-01,CZK,Czech Republic,67.64,19.7476
2010-07-01,DKK,Denmark,28.5,5.81365
2010-07-01,EGP,Egypt,13.0,5.699
2010-07-01,EUR,Euro area,3.3800310710000003,0.78015291
2010-07-01,GBP,Britain,2.29,0.657375756
2010-07-01,HKD,Hong Kong,14.8,7.7742
2010-07-01,HUF,Hungary,740.0,221.96915
2010-07-01,IDR,Indonesia,22780.0,9063.0
2010-07-01,ILS,Israel,14.9,3.8619
2010-07-01,JPY,Japan,320.0,87.18
2010-07-01,KRW,South Korea,3400.0,1204.45
2010-07-01,LKR,Sri Lanka,210.0,112.775
2010-07-01,MXN,Mexico,32.0,12.782
2010-07-01,MYR,Malaysia,7.05,3.2135
2010-07-01,NOK,Norway,45.0,6.24625
2010-07-01,NZD,New Zealand,5.0,1.39275766
2010-07-01,PKR,Pakistan,210.0,85.525
2010-07-01,PEN,Peru,10.0,2.8275
2010-07-01,PHP,Philippines,102.0,46.47
2010-07-01,PLN,Poland,8.3,3.1969
2010-07-01,RUB,Russia,71.0,30.44325
2010-07-01,SAR,Saudi Arabia,10.0,3.75045
2010-07-01,SGD,Singapore,4.23,1.3742
2010-07-01,SEK,Sweden,48.4,7.37355
2010-07-01,THB,Thailand,70.0,32.305
2010-07-01,TRY,Turkey,5.95,1.5293
2010-07-01,TWD,Taiwan,75.0,32.1055
2010-07-01,UAH,Ukraine,14.5,7.899
2010-07-01,UYU,Uruguay,79.0,21.1
2010-07-01,USD,United States,3.733333333,1.0
2010-07-01,ZAR,South Africa,18.45,7.5365
2011-07-01,AED,UAE,12.0,3.67305
2011-07-01,ARS,Argentina,20.0,4.1325
2011-07-01,AUD,Australia,4.56,0.9223815890000001
2011-07-01,BRL,Brazil,9.5,1.5416
2011-07-01,CAD,Canada,4.73,0.94585
2011-07-01,CHF,Switzerland,6.5,0.80615
2011-07-01,CLP,Chile,1850.0,462.75
2011-07-01,CNY,China,14.65,6.445
2011-07-01,COP,Colombia,8400.0,1770.5
2011-07-01,CRC,Costa Rica,2050.0,504.305
2011-07-01,CZK,Czech Republic,69.32,17.0219
2011-07-01,DKK,Denmark,28.5,5.19845
2011-07-01,EGP,Egypt,14.09,5.9620000000000015
2011-07-01,EUR,Euro area,3.437660401,0.697520315
2011-07-01,GBP,Britain,2.39,0.614137444
2011-07-01,HKD,Hong Kong,15.1,7.7918
2011-07-01,HUF,Hungary,760.0,188.0724
2011-07-01,IDR,Indonesia,22534.0,8523.0
2011-07-01,INR,India,84.0,44.4
2011-07-01,ILS,Israel,15.9,3.40335
2011-07-01,JPY,Japan,320.0,78.365
2011-07-01,KRW,South Korea,3700.0,1056.2
2011-07-01,LKR,Sri Lanka,280.0,109.475
2011-07-01,MXN,Mexico,32.0,11.67075
2011-07-01,MYR,Malaysia,7.2,2.9730000000000003
2011-07-01,NOK,Norway,45.0,5.41405
2011-07-01,NZD,New Zealand,5.1,1.1560693640000002
2011-07-01,PKR,Pakistan,205.13,86.345
2011-07-01,PEN,Peru,10.0,2.7375
2011-07-01,PHP,Philippines,118.0,42.41
2011-07-01,PLN,Poland,8.63,2.7968
2011-07-01,RUB,Russia,75.0,27.7525
2011-07-01,SAR,Saudi Arabia,10.0,3.7502
2011-07-01,SGD,Singapore,4.41,1.20705
2011-07-01,SEK,Sweden,48.4,6.3352
2011-07-01,THB,Thailand,70.0,29.75
2011-07-01,TRY,Turkey,6.5,1.72285
2011-07-01,TWD,Taiwan,75.0,28.834
2011-07-01,UAH,Ukraine,16.5,7.994
2011-07-01,UYU,Uruguay,90.0,18.45
2011-07-01,USD,United States,4.065,1.0
2011-07-01,ZAR,South Africa,19.45,6.76885
2012-01-01,AED,UAE,12.0,3.673
2012-01-01,ARS,Argentina,20.0,4.3135
2012-01-01,AUD,Australia,4.8,0.972337012
2012-01-01,BRL,Brazil,10.25,1.805
